priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes
61,REC_1131,REC_1131.pdf,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y optimización de trayectorias mediante odometría visual–inercial integrada con SBAS],2026,Scopus,10.15446/ing.investig.119122,recent,https://www.scopus.com/pages/publications/105033716526?origin=resultslist,https://doi.org/10.15446/ing.investig.119122,https://scholar.google.com/scholar?q=Enhancing+UAV+Autonomy+and+Path+Optimization+Through+SBAS+and+Visual-Inertial+Odometry%3B+%5BMejora+de+la+autonom%C3%ADa+de+UAV+y+optimizaci%C3%B3n+de+trayectorias+mediante+odometr%C3%ADa+visual%E2%80%93inercial+integrada+con+SBAS%5D,,
62,REC_1134,REC_1134.pdf,A Decision-Making Framework for Autonomous Aerial Vehicles in Responding to GPS Loss,2026,Scopus,10.2514/6.2026-1992,recent,https://www.scopus.com/pages/publications/105031135869?origin=resultslist,https://doi.org/10.2514/6.2026-1992,https://scholar.google.com/scholar?q=A+Decision-Making+Framework+for+Autonomous+Aerial+Vehicles+in+Responding+to+GPS+Loss,,
63,REC_1142,REC_1142.pdf,Dual Quaternion-Based Unscented Kalman Filter with Visual Inertial Odometry for navigation in GPS-denied environments,2026,Scopus,10.1016/j.measurement.2026.121964,recent,https://www.scopus.com/pages/publications/105041395472?origin=resultslist,https://doi.org/10.1016/j.measurement.2026.121964,https://scholar.google.com/scholar?q=Dual+Quaternion-Based+Unscented+Kalman+Filter+with+Visual+Inertial+Odometry+for+navigation+in+GPS-denied+environments,,
64,REC_1143,REC_1143.pdf,Multi-Robot Cooperative 3D Frontier Exploration Using Stereo Camera Based Mapping in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-0859,recent,https://www.scopus.com/pages/publications/105031187258?origin=resultslist,https://doi.org/10.2514/6.2026-0859,https://scholar.google.com/scholar?q=Multi-Robot+Cooperative+3D+Frontier+Exploration+Using+Stereo+Camera+Based+Mapping+in+GPS-Denied+Environments,,
65,REC_1149,REC_1149.pdf,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,Scopus,10.2514/6.2026-0855,recent,https://www.scopus.com/pages/publications/105031153399?origin=resultslist,https://doi.org/10.2514/6.2026-0855,https://scholar.google.com/scholar?q=Simultaneous+Localization+and+Mapping+using+Sensor+Fusion+for+UAV+Navigation+in+GPS-Denied+Environments,,
66,REC_1150,REC_1150.pdf,NaviLoc: Trajectory-Level Visual Localization for GNSS-Denied UAV Navigation,2026,Scopus,10.3390/drones10020097,recent,https://www.scopus.com/pages/publications/105031282340?origin=resultslist,https://doi.org/10.3390/drones10020097,https://scholar.google.com/scholar?q=NaviLoc%3A+Trajectory-Level+Visual+Localization+for+GNSS-Denied+UAV+Navigation,,
67,REC_1163,REC_1163.pdf,A comparative study of TERCOM-EKF and ViSensorRF for UAV localization in GNSS-denied environments,2026,Scopus,10.1016/j.rineng.2025.108279,recent,https://www.scopus.com/pages/publications/105023854025?origin=resultslist,https://doi.org/10.1016/j.rineng.2025.108279,https://scholar.google.com/scholar?q=A+comparative+study+of+TERCOM-EKF+and+ViSensorRF+for+UAV+localization+in+GNSS-denied+environments,,
68,REC_1164,REC_1164.pdf,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,2026,Scopus,10.1016/j.measurement.2025.118983,recent,https://www.scopus.com/pages/publications/105016309253?origin=resultslist,https://doi.org/10.1016/j.measurement.2025.118983,https://scholar.google.com/scholar?q=Lightweight+and+accurate+infrared+rangefinder-fused+LiDAR-inertial+localization+for+UAV-based+bridge+inspection+in+GPS-denied+environments,,
69,REC_1165,REC_1165.pdf,UAV Localization in GPS-Denied Environments: A Review,2026,Scopus,10.1109/TSMC.2026.3708505,recent,https://www.scopus.com/pages/publications/105044809424?origin=resultslist,https://doi.org/10.1109/TSMC.2026.3708505,https://scholar.google.com/scholar?q=UAV+Localization+in+GPS-Denied+Environments%3A+A+Review,,
70,REC_1167,REC_1167.pdf,APF-Driven Lightweight UAV Swarm Trajectory Optimization in GNSS-Denied Air–Terrestrial Navigation,2026,Scopus,10.3390/electronics15061207,recent,https://www.scopus.com/pages/publications/105034263672?origin=resultslist,https://doi.org/10.3390/electronics15061207,https://scholar.google.com/scholar?q=APF-Driven+Lightweight+UAV+Swarm+Trajectory+Optimization+in+GNSS-Denied+Air%E2%80%93Terrestrial+Navigation,,
